year,pdfs,total_records,avg_per_pdf,pdfs_with_section,top_pattern,flagged
2000,53,5796,109.4,18,em_dash,False
2001,52,5366,103.2,17,em_dash,False
2002,44,2874,65.3,11,em_dash,False
2003,51,3228,63.3,12,em_dash,False
2004,51,401,7.9,4,em_dash,True
2005,53,7053,133.1,11,modern_caps,False
2006,50,5012,100.2,40,modern_caps,False
2007,52,5562,107.0,34,modern_caps,False
2008,52,6073,116.8,41,modern_caps,False
2009,50,2569,51.4,44,modern_caps,False
2010,40,2425,60.6,39,modern_caps,False
2011,17,1811,106.5,13,modern_caps,False
2012,52,4789,92.1,19,modern_caps,False
2013,52,6164,118.5,17,modern_caps,False
2014,51,4923,96.5,13,modern_caps,False
2015,52,4977,95.7,12,modern_caps,False
2016,50,2766,55.3,13,modern_caps,False
2017,52,7010,134.8,14,modern_caps,False
2018,52,10941,210.4,18,modern_caps,False
2019,52,9001,173.1,32,modern_caps,False
2020,48,9285,193.4,46,modern_caps,False
2021,52,9138,175.7,49,modern_caps,False
2022,52,9495,182.6,48,modern_caps,False
2023,52,10321,198.5,50,modern_caps,False
2024,52,10243,197.0,47,modern_caps,False
